Entry_name,GH,DMY_H1_kgperha,PH_H2,DMY_H2_kgperha,PH_H3,DMY_H3_kgperha
G271,4,NA,15.01,NA,24.12,1259.81
G272,3,1267.81,20.51,NA,22.87,1508.91
G273,3.75,628.08,16.01,5444.62,18.62,1931.73
G274,3.75,1143.36,17.51,NA,17.37,646.79
G275,6,1886.21,18.01,2382.39,22.12,1011.18
G276,6,661.08,15.51,4857.07,20.87,1627.08
G277,6.5,814.71,15.51,NA,20.87,3842.18
G278,5.25,933.43,12.26,3608.74,22.37,2382.27
G279,3,2532.96,13.01,4225.37,20.12,1810.41
G280,3,2564.34,20.76,NA,20.12,846.52
G281,2.5,2127.6,20.01,4689.85,23.12,2633.53
G282,5,590.89,20.51,4591.35,23.87,1647.05
G283,5.25,1755.95,22.01,4944,25.12,1246.08
G284,4.5,660.22,17.76,4588.61,18.37,2189.65
G285,3.5,2742.04,17.01,4455.8,24.12,1875.34
G286,4,1249.14,15.51,NA,15.88,793.23
G287,5.5,1452.41,14.01,4055.59,22.37,NA
G288,4.75,1985.34,16.26,3877.39,NA,NA
G289,4,894.13,18.26,NA,16.87,1627.51
G290,8.5,1431.58,12.76,3273.91,25.37,NA
G291,4.25,1857.05,16.76,3391.46,22.87,NA
G292,5.25,1209.63,12.01,1871.42,NA,NA
G293,5.25,1446.3,15.26,4750.15,22.37,1966.28
G294,5.5,1213.27,15.01,5099.06,25.37,3439.52
G295,6,1413.29,15.26,NA,18.87,2134.63
G296,2.75,1125.13,19.26,3693.86,19.62,555.95
G297,3,1438.72,22.01,5192.49,31.87,2013.37
G298,6,1249.82,14.76,4021.4,17.13,NA
G299,5,2128.23,17.26,3702.19,16.87,1431.09
G300,4,1928.89,17.26,3998.1,24.12,1467.89
G301,4,1076.25,20.76,4436.57,21.62,1223.15
G302,5.5,474.21,10.51,1704.24,16.87,NA
G303,3.75,NA,19.51,4502.27,28.37,2451.13
G304,5.25,177.06,14.01,2518.66,19.12,216.65
G305,4,NA,18.01,NA,25.12,2011.04
G306,4.75,1377.96,19.26,5057.14,23.62,2197.76
G307,3.75,928.99,16.26,3531.4,27.62,2808.51
G308,6.75,943.18,12.26,3417.24,27.62,2219.51
G309,5,490.22,13.76,2976.1,25.62,2388.4
G310,4.75,2842.71,11.51,1541.15,23.37,1058.56
G311,5,1849.41,15.01,3722.39,32.12,3051.75
G312,5,NA,16.01,4541.44,28.87,4505.19
G313,4.75,1704.99,14.26,3851.3,18.62,298.76
G314,3.25,1991.07,17.76,NA,18.87,2372.18
G315,4.75,1015.78,14.01,3787.54,16.62,2495.59
G316,3,2272.47,14.01,2181.98,17.12,1176.47
G317,5,1201.48,16.76,3739.85,21.62,1723.06
G318,5,579.3,12.76,2296.39,24.62,654.15
G319,7,NA,12.51,1731.42,24.87,2395.2
G320,5.5,1423.64,15.01,5483.07,22.37,1180.97
G321,7.5,NA,12.51,4462.81,18.87,3708.54
G322,5,1292.29,10.76,2666.53,23.62,1274.5
G323,4.5,1077.7,15.01,3158.73,22.37,1158.78
G324,5,1010.43,16.76,5484.73,19.12,773.11
G325,5.5,561.76,13.51,NA,19.87,1188.78
