Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G130,5.98,55.22,7.46,1627.1,40.53,6.83,1767.38,50.35,6.53,2109.39
G131,4.06,65.6,7.59,3151.77,34.79,5.66,1785.6,45.23,6.14,2393.88
G132,6.5,49.88,7.48,1746.01,40.66,5.78,1715.72,49.58,4.94,1704.33
G133,5.24,53.93,8.43,2605.13,43.64,6.75,2111.01,58.86,6.35,3898.14
G134,5.51,50.08,7.55,1853.19,36.41,6.63,1466.19,48.87,5.71,2387.57
G135,4.47,58.13,6.98,1514.47,30.22,5.42,1277.89,57.23,6.18,3030.18
G136,4.9,57.94,7.46,2766.22,28.4,5.2,1339.63,48.21,5.42,2067.36
G137,5.51,54.33,8.01,2560.01,38.21,7.51,1949.77,51.51,7.17,2491.45
G138,6.98,53.39,7.03,2046.98,52.2,5.9,1722.83,52.75,4.59,2209.11
G139,7.04,64.68,7.22,1391.49,38.25,7.05,1474.19,48.73,5.52,1493.04
G140,6,57,7.08,2197.12,37.66,5.99,1678.01,50.58,5.36,2418.44
G141,4.95,51.46,8.59,2341.98,35.65,6.88,1464.22,60.97,6.75,3283.33
G142,4.55,49.55,6.48,2036.52,39.07,6.61,1639.66,62.43,6.8,3677.67
G143,6.88,50.3,7.04,1596.24,37.23,7.16,1562.55,52.32,6.39,2890.8
G144,6.37,46.64,6.46,1850.69,41.15,5.53,1082.72,53.5,6.38,2604.35
G145,5.95,53.76,8.97,2930.3,36.66,7.04,1733.17,51.43,6.2,2654.92
G146,5.97,46.01,5.44,1502.31,29.53,5.5,1040.55,60.64,5.62,3136.63
G147,5.44,39.97,5.88,1368.1,28.57,5.36,1081.82,47.95,6.51,2343.23
G148,5.9,49.01,7.45,2627.89,33.42,6.98,1577.18,50.54,6.81,2950.65
G149,6.96,50.27,7.54,1806.9,43.29,7.46,1951.22,52.97,5.64,2412.21
G150,4.69,49.27,6.01,1730.65,37.57,6.17,1605.35,64.94,7.16,4163.82
G151,5.01,54.8,7.1,2785.72,41.87,5.31,1728.8,55.63,6.21,3629.77
G152,5.08,51.4,7.08,1681.49,34.5,6.56,1624.16,53.34,6.74,2848.73
G153,5.95,56.19,7.57,1909.99,33.99,6.48,1092.99,51.23,5.55,2422.59
G154,6.81,55.75,7.52,1881.51,33.45,7.07,1701.24,59.37,7.31,4228.92
G155,5.52,38.95,5.57,991.58,33.44,6.06,1213.51,58.9,7.24,3556.6
G156,4.51,56.5,6.97,1834,36.15,5.63,1692.17,58.35,6.2,2692.11
G157,4.45,58.84,7.45,3075.23,45,6.08,2039.51,46.86,5.65,1705.71
G158,4.47,56.78,6.96,2382.13,32.98,5.63,1495.68,44.63,5.27,1531.69
G159,5.98,57.65,7.46,2098.09,34.13,5.77,1493.49,48.99,5.96,2732.01
G160,5.04,52.77,6.67,1916.16,39.85,7.15,1619.08,54.84,7.37,1362.67
G161,6.03,49.48,7.38,1621.1,38.38,5.87,1722.29,52.71,2.51,1232.73
G162,5.97,47.79,7.93,2066.48,36.4,7.01,2171.66,56.94,6.33,2685.3
G163,4.9,48.99,6.06,2318.22,40.84,5.77,1415.29,54.19,5.38,2344.19
G164,5.1,50.69,7.52,2340.08,36.78,6.59,1410.98,52.27,6.14,2317.85
G165,7.11,37.87,7.89,2125.94,37.62,5.31,1825.16,50.48,3.56,2424.91
G166,3.91,69.23,7.53,3049.5,30.83,5.76,1507.02,48.41,5.99,2282.31
G167,4,63.89,7.52,2698.97,31.35,5.9,1261,48.85,5.97,2524.63
G168,8.03,35.47,8.55,947.97,30.45,7.45,1388.92,52,6.61,2741.44
G169,5.96,49.5,6.94,1458.76,38.15,6,1818.48,47.63,3.94,1921.97
G170,4.52,57.23,6.39,1868.1,36.71,5.45,1282.16,53.41,4.69,2482.73
G171,3.98,63.92,6.47,2533.16,35.21,5.26,1404.26,45.73,4.92,2175.55
G172,4.46,62.63,7.57,3029.47,34.68,5.33,1618.58,49.03,5.48,1925.31
